timestamp, mode, km1
17:47:51.649159100
17:47:52.978752400, evolutionary, 879
17:47:55.353552000, evolutionary, 858
17:47:58.732726900, evolutionary, 866
17:48:03.157593800, evolutionary, 863
17:48:08.432127800, evolutionary, 859
17:48:14.826459300, evolutionary, 844
17:48:22.179653900, evolutionary, 856
17:48:30.543883100, evolutionary, 851
17:48:39.939679100, evolutionary, 861
17:48:50.266789400, evolutionary, 850
###
17:48:50.293945100
17:48:51.620188000, evolutionary, 873
17:48:53.824584000, evolutionary, 866
17:48:57.113756500, evolutionary, 868
17:49:01.453333400, evolutionary, 864
17:49:06.762908400, evolutionary, 868
17:49:13.133409600, evolutionary, 864
17:49:20.401097300, evolutionary, 855
17:49:28.755273600, evolutionary, 848
17:49:38.112706600, evolutionary, 844
17:49:48.491152900, evolutionary, 850
###
17:49:48.518713000
17:49:49.857763400, evolutionary, 861
17:49:52.103745700, evolutionary, 873
17:49:55.459735100, evolutionary, 851
17:49:59.729664900, evolutionary, 867
17:50:05.050819900, evolutionary, 859
17:50:11.447378300, evolutionary, 868
17:50:18.762210800, evolutionary, 865
17:50:27.073501100, evolutionary, 862
17:50:36.350987100, evolutionary, 851
17:50:46.696625700, evolutionary, 842
